,city,cloudiness,humidity,lat,pressure,temperature,wind
274,scarborough,68,100,5.38,1023.32,299.757,2.67
275,scarborough,92,99,56.29,1008.98,289.857,1.87
276,scarborough,90,87,64.42,1021.0,281.15,2.0
277,scarborough,1,41,43.65,1017.0,299.73,3.1
278,scarborough,0,48,-3.52,962.29,297.007,1.57
279,scarborough,20,53,70.47,1006.0,283.15,3.6
280,scarborough,0,44,43.17,1011.0,299.15,1.0
281,scarborough,100,100,-32.7,1016.11,286.007,3.02
282,scarborough,0,67,27.93,871.82,296.757,0.87
283,scarborough,64,100,-16.48,1030.54,299.757,8.52
284,scarborough,92,100,4.98,1017.24,296.157,2.17
285,scarborough,8,82,26.4,999.25,301.007,1.47
286,scarborough,92,73,66.94,976.55,284.957,0.17
287,scarborough,20,94,44.65,1007.0,295.15,2.6
288,scarborough,8,72,71.97,1006.95,277.757,4.62
289,scarborough,92,56,54.87,1008.9,295.457,3.77
290,scarborough,20,91,10.64,1001.03,297.607,2.87
291,scarborough,75,63,55.34,1022.0,289.82,5.7
292,scarborough,40,34,20.87,1024.0,301.15,3.1
293,scarborough,0,82,58.71,1019.76,288.757,2.37
294,scarborough,0,51,68.01,998.2,292.657,1.17
295,scarborough,0,93,-43.53,1014.0,275.15,0.5
296,scarborough,0,29,-31.68,1009.38,294.407,5.47
297,scarborough,0,82,26.2,1000.87,301.507,1.32
298,scarborough,0,90,28.63,988.88,300.157,1.27
299,scarborough,92,87,60.91,1007.0,283.15,4.1
300,scarborough,48,87,58.97,952.48,283.057,0.82
301,scarborough,12,100,24.8,1016.59,301.057,5.92
302,scarborough,68,64,54.93,1005.17,287.507,2.42
303,scarborough,56,93,47.25,1016.0,291.15,2.82
304,scarborough,40,79,9.55,1007.0,303.15,4.1
305,scarborough,32,86,-45.41,960.5,276.957,4.02
306,scarborough,0,57,19.97,977.85,304.307,3.02
307,scarborough,8,26,18.69,964.15,303.207,2.97
308,scarborough,32,88,41.11,1005.57,297.757,4.82
309,scarborough,48,100,30.78,780.15,288.657,0.72
310,scarborough,0,25,17.54,1012.0,304.15,2.1
311,scarborough,75,70,63.75,1002.0,281.15,2.1
312,scarborough,8,85,29.04,970.88,295.857,0.97
313,scarborough,0,74,64.9,1026.56,290.407,2.47
314,scarborough,90,100,47.66,1016.0,294.15,7.2
315,scarborough,92,62,60.4,1014.0,286.15,3.6
316,scarborough,1,38,34.64,1013.0,298.96,6.7
317,scarborough,32,77,52.47,1018.0,291.21,3.1
318,scarborough,20,72,37.72,1027.0,293.15,5.7
319,scarborough,90,49,64.84,1020.0,292.82,5.7
320,scarborough,32,100,-13.85,1028.27,296.257,4.77
321,scarborough,0,38,62.72,1008.09,295.657,2.87
322,scarborough,90,77,-13.71,1011.0,292.15,9.8
323,scarborough,1,47,45.1,1013.0,297.61,6.7
324,scarborough,0,40,39.5,1003.0,295.15,0.92
325,scarborough,0,52,51.52,982.31,294.407,4.57
326,scarborough,40,39,-0.82,1026.0,291.61,5.1
327,scarborough,0,87,71.03,1018.0,286.69,18.5
328,scarborough,8,100,63.05,1019.11,284.357,3.87
329,scarborough,90,42,38.26,1019.0,302.52,1.92
330,scarborough,20,93,-16.99,1017.0,290.15,1.5
331,scarborough,68,72,14.73,989.6,300.057,1.87
332,scarborough,0,72,-25.17,1025.11,288.957,5.37
333,scarborough,1,83,30.37,1012.0,303.85,1.5
334,scarborough,0,65,63.86,1011.65,288.607,1.77
335,scarborough,64,92,7.53,993.41,296.257,1.97
336,scarborough,8,53,49.22,984.58,298.757,3.77
337,scarborough,0,42,26.55,994.31,300.257,1.97
338,scarborough,0,47,-2.95,960.99,298.757,1.62
339,scarborough,1,14,31.46,1012.0,315.15,6.2
340,scarborough,88,49,-16.77,935.54,288.457,3.67
341,scarborough,0,69,41.3,1014.0,296.15,1.0
342,scarborough,12,55,48.3,1016.0,292.71,2.6
343,scarborough,20,88,-3.03,1009.0,300.95,1.5
344,scarborough,92,100,-3.66,1019.35,297.157,3.07
345,scarborough,88,80,-37.83,1014.32,281.357,3.92
346,scarborough,0,42,-19.79,942.91,302.707,9.87
347,scarborough,76,94,56.76,1003.95,291.657,5.02
348,scarborough,24,100,-19.55,1030.62,295.307,5.37
349,scarborough,32,82,57.69,996.17,287.007,1.72
350,scarborough,92,93,43.32,1024.7,289.357,7.52
351,scarborough,0,77,47.88,1019.0,289.15,2.6
352,scarborough,0,83,67.67,1036.62,283.507,3.47
353,scarborough,56,72,57.05,1015.0,288.15,1.0
354,scarborough,90,100,44.9,1007.0,294.32,10.8
355,scarborough,0,72,47.55,1016.0,292.15,3.1
356,scarborough,0,24,23.67,842.56,303.407,2.12
357,scarborough,1,44,36.62,1012.0,296.34,8.7
358,scarborough,80,91,7.58,980.85,296.857,2.12
359,scarborough,75,72,50.7,1023.0,288.15,3.6
360,scarborough,40,72,33.08,1021.0,293.15,4.1
361,scarborough,48,37,60.75,910.25,289.807,1.27
362,scarborough,0,57,-20.46,868.42,282.807,4.32
363,scarborough,90,82,42.92,1013.0,292.15,4.6
364,scarborough,1,23,36.96,1010.0,310.99,3.6
365,scarborough,8,94,1.24,1008.0,297.15,0.72
366,scarborough,8,67,-46.28,1008.98,272.457,1.77
367,scarborough,32,100,-0.91,1007.76,297.007,1.87
368,scarborough,92,100,-2.02,1022.43,298.407,6.37
369,scarborough,20,83,-4.13,1018.0,296.15,3.6
370,scarborough,0,69,-30.0,1011.0,297.15,2.6
371,scarborough,80,90,61.99,1015.62,278.857,9.72
372,scarborough,0,74,-3.71,1012.0,299.15,3.1
373,scarborough,0,97,37.29,1008.65,293.157,1.32
374,scarborough,40,41,55.1,1014.0,299.15,3.1
375,scarborough,92,100,-2.57,1023.16,297.257,3.92
376,scarborough,0,71,40.36,962.29,291.157,1.52
377,scarborough,80,95,60.47,1005.82,284.707,1.72
378,scarborough,64,72,63.29,1014.0,290.7,1.5
379,scarborough,0,81,53.86,1028.35,292.007,5.52
380,scarborough,40,88,43.27,1021.0,291.15,3.6
381,scarborough,92,77,48.65,1025.19,290.407,5.02
382,scarborough,0,87,59.79,1017.0,286.15,3.6
383,scarborough,56,99,24.14,1010.52,301.357,8.52
384,scarborough,0,73,59.06,1019.11,289.157,1.82
385,scarborough,5,24,28.83,1013.0,312.15,3.1
386,scarborough,90,72,60.79,1024.0,288.15,2.6
387,scarborough,76,93,13.79,1023.97,297.507,3.57
388,scarborough,0,88,-6.13,1022.19,294.507,2.82
389,scarborough,56,100,-1.57,1028.51,296.257,5.67
390,scarborough,20,49,5.66,758.1,291.407,2.02
391,scarborough,40,53,69.22,994.0,283.15,1.5
392,scarborough,44,96,9.45,1006.47,295.757,1.62
393,scarborough,8,79,52.25,1006.71,290.107,1.22
394,scarborough,76,72,9.66,999.66,302.357,2.87
395,scarborough,40,83,18.37,1015.0,302.15,6.2
396,scarborough,0,54,46.68,975.66,296.357,3.22
397,scarborough,24,77,42.12,922.0,297.407,5.27
398,scarborough,100,99,50.72,995.85,289.657,3.72
399,scarborough,90,69,21.44,1017.0,302.16,5.1
400,scarborough,40,94,15.57,1003.0,300.15,0.5
401,scarborough,5,26,39.0,1019.0,302.4,1.97
402,scarborough,0,39,40.85,1019.0,301.15,1.47
403,scarborough,1,63,43.41,1022.0,291.15,13.4
404,scarborough,0,96,27.34,816.22,286.707,1.12
405,scarborough,76,98,13.55,987.98,294.907,2.42
406,scarborough,88,98,-38.95,997.06,277.107,7.72
407,scarborough,20,100,-17.73,1033.21,297.157,2.72
408,scarborough,20,53,39.45,1009.0,298.15,2.1
409,scarborough,20,76,40.1,1013.68,300.357,1.67
410,scarborough,56,86,3.64,983.53,296.157,1.52
